Day,death_cnt,case_cnt,daily_death,daily_cases,std_case_cnt,std_death_cnt,std_daily_death,std_daily_cases
2020-06-03,464.06060606060606,18994.454545454544,6.484848484848499,234.43434343434274,28.459841056551067,28.317249970810813,40.046638957829785,40.046638957829785
2020-06-04,470.27272727272725,19221.353535353537,6.21212121212119,226.89898989899302,28.76676939843186,28.62263998704343,40.478525660599296,40.478525660599296
2020-06-05,476.3131313131313,19440.858585858587,6.0404040404040416,219.50505050504944,29.063546109718658,28.91792924348811,40.89612773188642,40.89612773188642
2020-06-06,482.1313131313131,19653.050505050505,5.818181818181813,212.1919191919187,29.35117195357814,29.20411347635799,41.300853355348345,41.300853355348345
2020-06-07,487.8484848484849,19858.070707070707,5.717171717171766,205.0202020202014,29.629242076825417,29.48078986569759,41.692132857540834,41.692132857540834
2020-06-08,493.27272727272725,20055.949494949495,5.4242424242423795,197.878787878788,29.898973147068546,29.749168990510743,42.071678255709415,42.071678255709415
2020-06-09,498.57575757575756,20246.9797979798,5.303030303030312,191.0303030303039,30.160491201773326,30.00937625888361,42.43966690367038,42.43966690367038
2020-06-10,503.6868686868687,20431.242424242424,5.111111111111143,184.26262626262542,30.4142702533402,30.261883287400092,42.796765767992916,42.796765767992916
2020-06-11,508.64646464646466,20608.848484848484,4.9595959595959584,177.60606060606005,30.660381227983297,30.5067606792365,43.143074696646515,43.143074696646515
2020-06-12,513.4545454545455,20779.969696969696,4.808080808080831,171.121212121212,30.898893349237344,30.74407728222071,43.4786910551631,43.4786910551631
2020-06-13,518.0,20944.828282828283,4.545454545454504,164.8585858585866,31.130878314757766,30.974899441883753,43.80512288385482,43.80512288385482
2020-06-14,522.4040404040404,21103.515151515152,4.4040404040404155,158.68686868686927,31.35595861310217,31.19885154104958,44.121838979817056,44.121838979817056
2020-06-15,526.6767676767677,21256.19191919192,4.272727272727252,152.67676767676676,31.57471630650508,31.416512705108318,44.429658350030834,44.429658350030834
2020-06-16,530.8383838383838,21403.060606060608,4.161616161616166,146.8686868686891,31.787491354026987,31.62822120937075,44.72905938802849,44.72905938802849
2020-06-17,534.8181818181819,21544.31313131313,3.979797979798036,141.2525252525229,31.99413674542945,31.833830772559562,45.01983522084372,45.01983522084372
2020-06-18,538.5757575757576,21680.060606060608,3.7575757575757507,135.7474747474771,32.19539328811593,32.03407849768776,45.303028269554375,45.303028269554375
2020-06-19,542.2929292929293,21810.50505050505,3.717171717171709,130.44444444444161,32.39026621030522,32.227974583924166,45.577238744400965,45.577238744400965
2020-06-20,545.8080808080808,21935.828282828283,3.5151515151515014,125.32323232323324,32.58006594652474,32.41682291428868,45.84431061443397,45.84431061443397
2020-06-21,549.1818181818181,22056.070707070707,3.373737373737299,120.24242424242402,32.764865713545255,32.600696329742256,46.10434689232828,46.10434689232828
2020-06-22,552.4646464646464,22171.565656565657,3.282828282828291,115.49494949495056,32.94419323218386,32.77912492997194,46.35668303868835,46.35668303868835
2020-06-23,555.6060606060606,22282.39393939394,3.1414141414142023,110.82828282828268,33.11867768591362,32.952734725885904,46.6022043666307,46.6022043666307
2020-06-24,558.5959595959596,22388.62626262626,2.989898989898961,106.2323232323215,33.28849270401976,33.121698494736094,46.84115522008832,46.84115522008832
2020-06-25,561.4444444444445,22490.515151515152,2.8484848484848726,101.8888888888905,33.453297288515586,33.28567693173346,47.07305574962673,47.07305574962673
2020-06-26,564.2727272727273,22588.272727272728,2.828282828282795,97.75757575757598,33.61366885993504,33.44524458058748,47.29871848275207,47.29871848275207
2020-06-27,566.939393939394,22681.91919191919,2.6666666666667425,93.64646464646285,33.76960482146473,33.60039884895507,47.51813975333759,47.51813975333759
2020-06-28,569.4848484848485,22771.59595959596,2.545454545454504,89.6767676767704,33.92122023676807,33.751254232838384,47.73148148318238,47.73148148318238
2020-06-29,571.939393939394,22857.565656565657,2.454545454545496,85.96969696969609,34.0687085768002,33.89800321663902,47.93901588633771,47.93901588633771
2020-06-30,574.2525252525253,22939.868686868685,2.3131313131312936,82.30303030302821,34.21155911534314,34.040137644205565,48.14002432148245,48.14002432148245
